Name,Type of GoN Body,Website,"3 Star Scheme Rating
",Doc,PDF,Excel,CSV,Does spreadsheet follow tabular data standards?,,
Nepal Red Cross Society,Government Agencies,http://www.nrcs.org/,1,N,Y,N,N,NA,,
Nepal Agricultural Research Council(NARC),Government Agencies,http://www.narc.gov.np/,1,N,Y,N,N,NA,,
Nepal Telecom,Government Agencies,http://www.ntc.net.np,1,Y,Y,N,N,NA,,
National Information Technology Center(NITC),Government Agencies,http://www.nitc.gov.np,1,N,Y,N,N,NA,,
National ID Management Center ,Government Agencies,http://www.nidmc.gov.np,0,NA,NA,NA,NA,NA,website not working,
Nepal Academy of Tourism and Hotel Management,Government Agencies,http://www.nathm.edu.np,1,N,Y,N,N,NA,,
Nepal Airlines Corporation,Government Agencies,www.nepalairlines.com.np,1,N,Y,N,N,NA,,
Nepal Academy of Science and Technology(NAST),Government Agencies,http://www.nast.gov.np/,0,N,N,N,N,NA,,
National Sports Council,Government Agencies,http://nsc.gov.np/,1,N,Y,N,N,NA,,
National Information Commission,Government Agencies,http://nic.gov.np/,1,Y,Y,N,N,NA,,
Office of Controller of Certification,Government Agencies,http://occ.gov.np/,1,N,Y,N,N,NA,website not working,
Office of the Controller of Examinations,Government Agencies,http://soce.gov.np/ ,2,Y,Y,Y,N,N,,
Public Procurement Monitoring Office(PPMO) ,Government Agencies,http://www.ppmo.gov.np/,2,N,Y,Y,N,N,,
Revenue Administration Training Center,Government Agencies,http://www.ratc.gov.np/,0,NA,NA,NA,NA,NA,website not working,
Social Welfare Council Nepal,Government Agencies,http://www.swc.org.np,1,Y,Y,N,N,NA,,
University Grants Commission,Government Agencies,http://www.ugcnepal.edu.np/,1,N,Y,N,N,NA,,
Vocational and Skill Development Training Center,Government Agencies,http://www.training.gov.np ,1,Y,Y,N,N,NA,,
Water and Energy Commission Secretariat,Government Agencies,http://www.wecs.gov.np/ ,1,N,Y,N,N,NA,,
Nepal Medical Council,Government Agencies,http://www.nmc.org.np ,1,N,Y,N,N,NA,,
Nepal Health Research Council,Government Agencies,http://nhrc.gov.np/,1,N,Y,N,N,NA,website not working,
,,,,,,,,,,
,,,,,,,,,,
,,,,26,75,11,1,,,
